% f evaluations | g evaluations | best noise-free fitness - Fopt (2.997000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.830944708e+03 +3.860914708e+03 +3.860914708e+03
2 0 +3.373370399e+03 +3.403340399e+03 +3.403340399e+03
8 0 +3.243897669e+03 +3.273867669e+03 +3.273867669e+03
10 0 +3.128964048e+03 +3.158934048e+03 +3.158934048e+03
32 0 +2.883007003e+03 +2.912977003e+03 +2.912977003e+03
171 0 +2.780238034e+03 +2.810208034e+03 +2.810208034e+03
228 0 +2.657667992e+03 +2.687637992e+03 +2.687637992e+03
361 0 +2.486027490e+03 +2.515997490e+03 +2.515997490e+03
3740 0 +2.410357745e+03 +2.440327745e+03 +2.440327745e+03
6556 0 +2.374653990e+03 +2.404623990e+03 +2.404623990e+03
37309 0 +2.197506384e+03 +2.227476384e+03 +2.227476384e+03
38240 0 +2.084189318e+03 +2.114159318e+03 +2.114159318e+03
116732 0 +2.027437998e+03 +2.057407998e+03 +2.057407998e+03
184758 0 +1.890317585e+03 +1.920287585e+03 +1.920287585e+03
1284951 0 +1.709018089e+03 +1.738988089e+03 +1.738988089e+03
21729783 0 +1.582871998e+03 +1.612841998e+03 +1.612841998e+03
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.171000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.293679267e+03 +4.241969267e+03 +4.241969267e+03
2 0 +4.146780669e+03 +4.095070669e+03 +4.095070669e+03
4 0 +3.523294108e+03 +3.471584108e+03 +3.471584108e+03
23 0 +3.433012722e+03 +3.381302722e+03 +3.381302722e+03
43 0 +2.857932199e+03 +2.806222199e+03 +2.806222199e+03
35439 0 +2.681957780e+03 +2.630247780e+03 +2.630247780e+03
44531 0 +2.597710256e+03 +2.546000256e+03 +2.546000256e+03
194191 0 +2.553862523e+03 +2.502152523e+03 +2.502152523e+03
231528 0 +2.510827425e+03 +2.459117425e+03 +2.459117425e+03
889484 0 +2.381999967e+03 +2.330289967e+03 +2.330289967e+03
3265475 0 +2.080833105e+03 +2.029123105e+03 +2.029123105e+03
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.799500000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.413461304e+03 +4.133511304e+03 +4.133511304e+03
3 0 +4.192519261e+03 +3.912569261e+03 +3.912569261e+03
7 0 +4.030920469e+03 +3.750970469e+03 +3.750970469e+03
9 0 +3.634325620e+03 +3.354375620e+03 +3.354375620e+03
14 0 +3.470612033e+03 +3.190662033e+03 +3.190662033e+03
52 0 +3.261426664e+03 +2.981476664e+03 +2.981476664e+03
881 0 +3.056393144e+03 +2.776443144e+03 +2.776443144e+03
2878 0 +2.869932199e+03 +2.589982199e+03 +2.589982199e+03
17516 0 +2.684434694e+03 +2.404484694e+03 +2.404484694e+03
206576 0 +2.584512172e+03 +2.304562172e+03 +2.304562172e+03
280073 0 +2.553746485e+03 +2.273796485e+03 +2.273796485e+03
466195 0 +2.488076588e+03 +2.208126588e+03 +2.208126588e+03
4488246 0 +2.453833602e+03 +2.173883602e+03 +2.173883602e+03
5739146 0 +2.196004010e+03 +1.916054010e+03 +1.916054010e+03
38446052 0 +2.150915466e+03 +1.870965466e+03 +1.870965466e+03
% f evaluations | g evaluations | best noise-free fitness - Fopt (9.319900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.282472126e+03 +4.214462126e+03 +4.214462126e+03
2 0 +3.042730097e+03 +3.974720097e+03 +3.974720097e+03
23 0 +2.973973661e+03 +3.905963661e+03 +3.905963661e+03
31 0 +2.827381931e+03 +3.759371931e+03 +3.759371931e+03
174 0 +2.771128320e+03 +3.703118320e+03 +3.703118320e+03
320 0 +2.750871168e+03 +3.682861168e+03 +3.682861168e+03
390 0 +2.478462819e+03 +3.410452819e+03 +3.410452819e+03
2199 0 +2.392097501e+03 +3.324087501e+03 +3.324087501e+03
8176 0 +2.285370605e+03 +3.217360605e+03 +3.217360605e+03
83558 0 +2.085884210e+03 +3.017874210e+03 +3.017874210e+03
266251 0 +2.037928860e+03 +2.969918860e+03 +2.969918860e+03
