% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
592361 +5.799771772e-03 +5.799771772e-03 +1.000005800e+03 +1.000005800e+03 -1.0383e+00 -1.6974e+00 -2.3948e+00 +2.0907e+00 -2.8531e+00
2122416 +5.181752323e-03 +5.181752323e-03 +1.000005182e+03 +1.000005182e+03 -6.2814e-01 -1.4748e+00 -1.7791e+00 +2.6945e+00 -2.3430e+00
19270450 +4.670487852e-03 +4.670487852e-03 +1.000004670e+03 +1.000004670e+03 -5.8805e-01 -1.3557e+00 -1.7688e+00 +2.6384e+00 -2.9035e+00
20964175 +3.402656049e-03 +3.402656049e-03 +1.000003403e+03 +1.000003403e+03 -6.9285e-01 -1.3476e+00 -2.1962e+00 +2.6420e+00 -2.1519e+00
46236742 +9.717923631e-04 +9.717923631e-04 +1.000000972e+03 +1.000000972e+03 -4.9414e-01 -1.1103e+00 -1.8423e+00 +3.1017e+00 -1.6207e+00
% function evaluation | noise-free fitness - Fopt (-4.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.838495208e+01 +7.838495208e+01 +2.925495208e+01 +2.925495208e+01 -4.7088e+00 +3.5301e+00 +1.1511e+00 -3.2925e+00 +1.3189e+00
2 +7.311269656e+01 +7.311269656e+01 +2.398269656e+01 +2.398269656e+01 +2.9375e-01 -1.9479e+00 -2.2738e+00 +1.1559e+00 -4.2112e+00
3 +4.038621184e+01 +4.038621184e+01 -8.743788159e+00 -8.743788159e+00 -2.8089e+00 -7.6988e-01 +2.9539e+00 +1.3376e+00 +4.9099e+00
35 +2.074164467e+01 +2.074164467e+01 -2.838835533e+01 -2.838835533e+01 +3.1393e+00 -2.0543e+00 -1.7318e+00 -3.9148e+00 +4.1651e-01
83 +1.943760323e+01 +1.943760323e+01 -2.969239677e+01 -2.969239677e+01 +1.1721e+00 -4.4078e-01 +4.6387e+00 +3.7500e+00 -2.6015e-01
332 +1.572410577e+01 +1.572410577e+01 -3.340589423e+01 -3.340589423e+01 -1.9298e+00 +3.0494e+00 -3.0612e+00 +1.8353e+00 +1.6626e+00
751 +6.118745712e+00 +6.118745712e+00 -4.301125429e+01 -4.301125429e+01 +3.0642e+00 +1.7768e+00 +1.5411e+00 -2.5398e+00 +1.1679e+00
8104 +5.743889066e+00 +5.743889066e+00 -4.338611093e+01 -4.338611093e+01 -1.8019e+00 +1.7680e+00 -2.6749e+00 +1.2430e+00 +1.5792e+00
10139 +2.718283413e+00 +2.718283413e+00 -4.641171659e+01 -4.641171659e+01 +2.9666e+00 -7.5718e-01 +2.7759e+00 +1.0681e+00 +9.6201e-01
17842 +2.215036679e+00 +2.215036679e+00 -4.691496332e+01 -4.691496332e+01 +3.1205e+00 +1.9118e+00 +1.8445e+00 -1.9131e+00 +1.2063e+00
20590 +1.418223479e+00 +1.418223479e+00 -4.771177652e+01 -4.771177652e+01 +3.3899e+00 +3.4184e+00 +3.3432e+00 -2.7333e-01 +4.5682e-01
29349 +6.193677818e-01 +6.193677818e-01 -4.851063222e+01 -4.851063222e+01 +3.0291e+00 +1.3900e+00 +3.7416e+00 +1.7622e+00 +5.7367e-01
57308 +1.886339969e-01 +1.886339969e-01 -4.894136600e+01 -4.894136600e+01 +3.1925e+00 +2.2151e+00 +3.3056e+00 +7.4246e-01 +7.3974e-01
225794 +1.495339549e-01 +1.495339549e-01 -4.898046605e+01 -4.898046605e+01 +3.1561e+00 +1.0846e+00 +3.2780e+00 +5.2277e-01 +8.7295e-01
461106 +1.224857133e-01 +1.224857133e-01 -4.900751429e+01 -4.900751429e+01 +3.7193e+00 +2.1153e+00 +2.9552e+00 -4.6359e-01 +1.2055e+00
1012713 +8.875710458e-02 +8.875710458e-02 -4.904124290e+01 -4.904124290e+01 +3.2590e+00 +2.1689e+00 +3.1851e+00 +6.4215e-02 +8.6555e-01
1219311 +6.646177355e-02 +6.646177355e-02 -4.906353823e+01 -4.906353823e+01 +3.0742e+00 +1.0255e+00 +2.6815e+00 +3.4479e-01 +1.0363e+00
2571897 +6.425588079e-02 +6.425588079e-02 -4.906574412e+01 -4.906574412e+01 +3.5110e+00 +2.2404e+00 +3.6226e+00 +7.7580e-01 +7.2844e-01
3386482 +4.865441522e-02 +4.865441522e-02 -4.908134558e+01 -4.908134558e+01 +3.7950e+00 +2.3458e+00 +2.7137e+00 -8.5603e-01 +1.2001e+00
3510410 +1.775387637e-02 +1.775387637e-02 -4.911224612e+01 -4.911224612e+01 +3.2136e+00 +1.3547e+00 +2.7340e+00 -8.7871e-02 +9.6003e-01
4294054 +1.288877628e-02 +1.288877628e-02 -4.911711122e+01 -4.911711122e+01 +3.4993e+00 +1.8580e+00 +3.2507e+00 +4.9956e-01 +9.4474e-01
4851185 +4.070833294e-03 +4.070833294e-03 -4.912592917e+01 -4.912592917e+01 +3.4383e+00 +2.2099e+00 +3.0213e+00 -8.2265e-03 +9.3086e-01
18616947 +3.668747086e-03 +3.668747086e-03 -4.912633125e+01 -4.912633125e+01 +3.6176e+00 +2.4743e+00 +3.0557e+00 -1.4140e-01 +1.0059e+00
20226610 +1.482322679e-03 +1.482322679e-03 -4.912851768e+01 -4.912851768e+01 +3.7286e+00 +2.2205e+00 +3.2610e+00 +1.1821e-01 +1.0434e+00
% function evaluation | noise-free fitness - Fopt (2.977300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.581800819e+01 +6.581800819e+01 +3.635480082e+02 +3.635480082e+02 +1.9410e+00 +8.3289e-01 +4.7003e+00 +6.7746e-01 -9.6435e-02
3 +4.490077615e+01 +4.490077615e+01 +3.426307762e+02 +3.426307762e+02 -2.5973e-01 -3.2275e+00 +3.1487e+00 +3.2436e+00 +2.7172e+00
27 +3.343542478e+01 +3.343542478e+01 +3.311654248e+02 +3.311654248e+02 +2.7139e+00 -1.3192e+00 +2.6785e-01 -4.0154e-01 +5.5544e-02
32 +2.682693274e+01 +2.682693274e+01 +3.245569327e+02 +3.245569327e+02 +1.4768e+00 +2.0991e+00 -2.7315e+00 -2.0448e+00 -4.2410e+00
60 +2.130629069e+01 +2.130629069e+01 +3.190362907e+02 +3.190362907e+02 +2.8940e-01 +1.8962e+00 +3.3018e+00 -1.9212e+00 +9.5550e-01
66 +1.862471088e+01 +1.862471088e+01 +3.163547109e+02 +3.163547109e+02 +1.4065e+00 +4.4696e+00 +3.4171e+00 -4.8324e+00 +5.4502e-01
79 +1.632972337e+01 +1.632972337e+01 +3.140597234e+02 +3.140597234e+02 +2.1574e+00 +4.0776e+00 -1.9742e+00 -2.0346e+00 -3.2202e+00
213 +1.259105291e+01 +1.259105291e+01 +3.103210529e+02 +3.103210529e+02 -1.2106e-01 +3.1526e+00 +4.1954e+00 -4.3930e+00 +1.1918e+00
277 +7.445295987e+00 +7.445295987e+00 +3.051752960e+02 +3.051752960e+02 +4.9122e+00 +1.3981e+00 +2.1227e+00 +2.4211e+00 +1.1886e-01
1669 +3.633256971e+00 +3.633256971e+00 +3.013632570e+02 +3.013632570e+02 -6.7500e-01 +1.0390e+00 +3.1004e+00 +2.4448e+00 +8.8727e-01
4678 +1.114136937e-01 +1.114136937e-01 +2.978414137e+02 +2.978414137e+02 -4.7166e+00 +1.2320e+00 +3.9179e+00 +2.0257e+00 +3.0995e-01
50783 +2.900591416e-03 +2.900591416e-03 +2.977329006e+02 +2.977329006e+02 -3.2549e+00 +6.8938e-01 +3.8025e+00 +2.4210e+00 +1.0511e+00
3442992 +8.842422210e-04 +8.842422210e-04 +2.977308842e+02 +2.977308842e+02 -4.4316e+00 +5.8184e-01 +4.0120e+00 +2.3886e+00 +1.2451e+00
41665219 +6.914023538e-04 +6.914023538e-04 +2.977306914e+02 +2.977306914e+02 -4.2296e+00 +4.9639e-01 +3.9058e+00 +2.3875e+00 +1.3120e+00
% function evaluation | noise-free fitness - Fopt (5.157000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.380364310e+01 +7.380364310e+01 +1.253736431e+02 +1.253736431e+02 -1.5078e+00 -9.9440e-01 +4.1867e+00 +5.2319e-01 +2.9396e+00
12 +6.011566361e+01 +6.011566361e+01 +1.116856636e+02 +1.116856636e+02 -5.2712e-01 +1.3499e+00 +1.1122e+00 -4.3110e+00 +2.3170e+00
29 +5.385108944e+01 +5.385108944e+01 +1.054210894e+02 +1.054210894e+02 -3.6283e+00 +1.6964e+00 +7.9610e-01 +5.2819e-01 -1.1982e+00
33 +3.346124789e+01 +3.346124789e+01 +8.503124789e+01 +8.503124789e+01 +1.7402e-01 -3.2324e+00 +2.5248e-01 -4.5488e+00 +1.4124e+00
35 +2.112444165e+01 +2.112444165e+01 +7.269444165e+01 +7.269444165e+01 -4.9309e+00 +3.8885e+00 -8.7254e-01 -3.4220e+00 +2.7359e+00
93 +4.817602476e+00 +4.817602476e+00 +5.638760248e+01 +5.638760248e+01 -4.3431e+00 +4.6334e+00 -1.0388e+00 -2.9313e+00 +3.3605e+00
1323 +5.044322918e-01 +5.044322918e-01 +5.207443229e+01 +5.207443229e+01 +1.4261e+00 +2.5316e+00 -2.2177e+00 -2.0297e+00 +1.3045e+00
19334 +2.249633260e-01 +2.249633260e-01 +5.179496333e+01 +5.179496333e+01 +1.7177e+00 +1.0459e+00 -1.8881e+00 -2.5339e+00 +1.5904e+00
70221 +1.889600346e-01 +1.889600346e-01 +5.175896003e+01 +5.175896003e+01 +2.6735e+00 +1.8484e+00 -2.4659e+00 -9.1400e-01 +1.2886e+00
168331 +1.581123232e-02 +1.581123232e-02 +5.158581123e+01 +5.158581123e+01 +2.2088e+00 +1.5845e+00 -2.4608e+00 -1.4066e+00 +1.1065e+00
1573476 +1.955965752e-03 +1.955965752e-03 +5.157195597e+01 +5.157195597e+01 +2.1498e+00 +1.1469e+00 -2.2475e+00 -1.7375e+00 +1.3127e+00
4671183 +4.846197050e-04 +4.846197050e-04 +5.157048462e+01 +5.157048462e+01 +2.2047e+00 +9.5876e-01 -2.1212e+00 -1.8323e+00 +1.4563e+00
% function evaluation | noise-free fitness - Fopt (-3.339100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.970454929e+01 +6.970454929e+01 -2.642054507e+02 -2.642054507e+02 -4.0333e+00 +3.1781e+00 -4.3469e+00 -3.6205e+00 +9.8658e-01
4 +6.475352977e+01 +6.475352977e+01 -2.691564702e+02 -2.691564702e+02 -1.4473e+00 -6.3545e-01 +3.4954e+00 -1.0543e+00 +3.7084e-01
7 +4.942611943e+01 +4.942611943e+01 -2.844838806e+02 -2.844838806e+02 -3.7381e+00 -3.9987e+00 -7.9265e-01 -4.5253e+00 -3.2420e+00
24 +4.080855573e+01 +4.080855573e+01 -2.931014443e+02 -2.931014443e+02 +2.5153e+00 -4.3842e+00 -1.8449e+00 -2.0622e+00 -4.2054e+00
25 +2.057946832e+01 +2.057946832e+01 -3.133305317e+02 -3.133305317e+02 +3.3223e+00 -8.0835e-01 -2.6030e+00 -2.4419e+00 +8.0667e-01
274 +8.465523405e+00 +8.465523405e+00 -3.254444766e+02 -3.254444766e+02 +2.2533e+00 +2.0349e-01 +9.8452e-01 -2.4632e+00 -1.4008e+00
398 +7.330047658e+00 +7.330047658e+00 -3.265799523e+02 -3.265799523e+02 +3.9448e+00 -1.8870e+00 -1.7725e+00 -1.4744e+00 +1.6516e-01
