% f evaluations | g evaluations | best noise-free fitness - Fopt (6.870000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.691640926e+01 +2.378640926e+01 +2.378640926e+01 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00 +1.6667e+00
4 0 +1.337593471e+01 +2.024593471e+01 +2.024593471e+01 +3.3333e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00
6 0 +7.782548218e+00 +1.465254822e+01 +1.465254822e+01 +3.3333e+00 +3.3333e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00 -1.6667e+00
40 0 +7.256471123e+00 +1.412647112e+01 +1.412647112e+01 +3.3353e+00 +3.3345e+00 -1.6624e+00 -1.6667e+00 -1.6661e+00 -1.6703e+00 -1.6689e+00 -1.6637e+00 -1.6681e+00 -1.6591e+00 -1.6622e+00 -1.6631e+00 -1.6640e+00 -1.6663e+00 -1.6686e+00 -1.6693e+00 -1.6633e+00 -1.6693e+00 -1.6646e+00 -1.6701e+00
65 0 +5.918886440e+00 +1.278888644e+01 +1.278888644e+01 +3.3348e+00 +3.3348e+00 -1.6580e+00 -1.6652e+00 -1.6707e+00 -1.6734e+00 -1.6741e+00 -1.6673e+00 -1.6674e+00 -1.6588e+00 -1.6588e+00 -1.6591e+00 -1.6583e+00 -1.6686e+00 -1.6678e+00 -1.6676e+00 -1.6600e+00 -1.6712e+00 -1.6611e+00 -1.6726e+00
89 0 +5.555379519e+00 +1.242537952e+01 +1.242537952e+01 +3.3347e+00 +3.3348e+00 -1.6568e+00 -1.6648e+00 -1.6709e+00 -1.6740e+00 -1.6755e+00 -1.6668e+00 -1.6683e+00 -1.6579e+00 -1.6589e+00 -1.6582e+00 -1.6583e+00 -1.6694e+00 -1.6668e+00 -1.6681e+00 -1.6597e+00 -1.6712e+00 -1.6594e+00 -1.6736e+00
116 0 +5.406582086e+00 +1.227658209e+01 +1.227658209e+01 +3.3348e+00 +3.3348e+00 -1.6570e+00 -1.6649e+00 -1.6705e+00 -1.6733e+00 -1.6758e+00 -1.6665e+00 -1.6685e+00 -1.6586e+00 -1.6595e+00 -1.6580e+00 -1.6582e+00 -1.6687e+00 -1.6664e+00 -1.6682e+00 -1.6597e+00 -1.6713e+00 -1.6588e+00 -1.6730e+00
163 0 +5.283875797e+00 +1.215387580e+01 +1.215387580e+01 +3.3354e+00 +3.3358e+00 -1.6575e+00 -1.6638e+00 -1.6721e+00 -1.6743e+00 -1.6768e+00 -1.6641e+00 -1.6697e+00 -1.6585e+00 -1.6595e+00 -1.6581e+00 -1.6583e+00 -1.6699e+00 -1.6642e+00 -1.6681e+00 -1.6597e+00 -1.6711e+00 -1.6571e+00 -1.6721e+00
185 0 +4.431973589e+00 +1.130197359e+01 +1.130197359e+01 +3.3353e+00 +3.3364e+00 -1.6592e+00 -1.6626e+00 -1.6730e+00 -1.6741e+00 -1.6758e+00 -1.6632e+00 -1.6692e+00 -1.6582e+00 -1.6589e+00 -1.6591e+00 -1.6588e+00 -1.6697e+00 -1.6635e+00 -1.6671e+00 -1.6603e+00 -1.6710e+00 -1.6574e+00 -1.6710e+00
232 0 +3.996684333e+00 +1.086668433e+01 +1.086668433e+01 +3.3311e+00 +3.3363e+00 -1.6584e+00 -1.6612e+00 -1.6777e+00 -1.6727e+00 -1.6767e+00 -1.6613e+00 -1.6639e+00 -1.6565e+00 -1.6582e+00 -1.6563e+00 -1.6596e+00 -1.6698e+00 -1.6622e+00 -1.6689e+00 -1.6575e+00 -1.6709e+00 -1.6532e+00 -1.6756e+00
257 0 +3.579180197e+00 +1.044918020e+01 +1.044918020e+01 +3.3300e+00 +3.3400e+00 -1.6558e+00 -1.6622e+00 -1.6783e+00 -1.6721e+00 -1.6797e+00 -1.6652e+00 -1.6681e+00 -1.6538e+00 -1.6540e+00 -1.6562e+00 -1.6607e+00 -1.6672e+00 -1.6614e+00 -1.6739e+00 -1.6543e+00 -1.6777e+00 -1.6495e+00 -1.6761e+00
279 0 +2.911462718e+00 +9.781462718e+00 +9.781462718e+00 +3.3266e+00 +3.3408e+00 -1.6548e+00 -1.6647e+00 -1.6803e+00 -1.6696e+00 -1.6822e+00 -1.6683e+00 -1.6748e+00 -1.6528e+00 -1.6530e+00 -1.6559e+00 -1.6600e+00 -1.6691e+00 -1.6597e+00 -1.6793e+00 -1.6540e+00 -1.6848e+00 -1.6454e+00 -1.6766e+00
331 0 +2.738029325e+00 +9.608029325e+00 +9.608029325e+00 +3.3261e+00 +3.3410e+00 -1.6548e+00 -1.6645e+00 -1.6806e+00 -1.6699e+00 -1.6816e+00 -1.6685e+00 -1.6750e+00 -1.6524e+00 -1.6525e+00 -1.6561e+00 -1.6597e+00 -1.6690e+00 -1.6597e+00 -1.6790e+00 -1.6538e+00 -1.6842e+00 -1.6459e+00 -1.6765e+00
357 0 +2.547026417e+00 +9.417026417e+00 +9.417026417e+00 +3.3260e+00 +3.3413e+00 -1.6548e+00 -1.6646e+00 -1.6809e+00 -1.6700e+00 -1.6815e+00 -1.6683e+00 -1.6749e+00 -1.6521e+00 -1.6521e+00 -1.6562e+00 -1.6594e+00 -1.6692e+00 -1.6596e+00 -1.6791e+00 -1.6536e+00 -1.6843e+00 -1.6458e+00 -1.6765e+00
383 0 +2.374718456e+00 +9.244718456e+00 +9.244718456e+00 +3.3258e+00 +3.3416e+00 -1.6550e+00 -1.6644e+00 -1.6809e+00 -1.6697e+00 -1.6815e+00 -1.6681e+00 -1.6751e+00 -1.6519e+00 -1.6521e+00 -1.6562e+00 -1.6594e+00 -1.6692e+00 -1.6593e+00 -1.6790e+00 -1.6534e+00 -1.6844e+00 -1.6454e+00 -1.6763e+00
410 0 +2.327404952e+00 +9.197404952e+00 +9.197404952e+00 +3.3259e+00 +3.3415e+00 -1.6551e+00 -1.6644e+00 -1.6808e+00 -1.6696e+00 -1.6815e+00 -1.6681e+00 -1.6753e+00 -1.6520e+00 -1.6522e+00 -1.6562e+00 -1.6596e+00 -1.6693e+00 -1.6592e+00 -1.6790e+00 -1.6536e+00 -1.6843e+00 -1.6454e+00 -1.6762e+00
584 0 +2.254086639e+00 +9.124086639e+00 +9.124086639e+00 +3.3258e+00 +3.3415e+00 -1.6551e+00 -1.6644e+00 -1.6808e+00 -1.6696e+00 -1.6814e+00 -1.6681e+00 -1.6753e+00 -1.6521e+00 -1.6521e+00 -1.6563e+00 -1.6596e+00 -1.6694e+00 -1.6592e+00 -1.6789e+00 -1.6534e+00 -1.6843e+00 -1.6454e+00 -1.6763e+00
611 0 +2.230099286e+00 +9.100099286e+00 +9.100099286e+00 +3.3257e+00 +3.3413e+00 -1.6551e+00 -1.6644e+00 -1.6807e+00 -1.6696e+00 -1.6814e+00 -1.6681e+00 -1.6754e+00 -1.6521e+00 -1.6521e+00 -1.6563e+00 -1.6595e+00 -1.6695e+00 -1.6591e+00 -1.6788e+00 -1.6533e+00 -1.6842e+00 -1.6453e+00 -1.6764e+00
808 0 +2.169985157e+00 +9.039985157e+00 +9.039985157e+00 +3.3197e+00 +3.3426e+00 -1.6598e+00 -1.6741e+00 -1.6901e+00 -1.6803e+00 -1.6693e+00 -1.6633e+00 -1.6749e+00 -1.6551e+00 -1.6529e+00 -1.6653e+00 -1.6609e+00 -1.6557e+00 -1.6462e+00 -1.6802e+00 -1.6580e+00 -1.6887e+00 -1.6486e+00 -1.6695e+00
830 0 +1.122590473e+00 +7.992590473e+00 +7.992590473e+00 +3.2952e+00 +3.3414e+00 -1.6447e+00 -1.6808e+00 -1.7237e+00 -1.6890e+00 -1.6438e+00 -1.6488e+00 -1.6880e+00 -1.6676e+00 -1.6489e+00 -1.6610e+00 -1.6896e+00 -1.6479e+00 -1.6235e+00 -1.6876e+00 -1.6511e+00 -1.6881e+00 -1.6549e+00 -1.6375e+00
860 0 +1.031256189e+00 +7.901256189e+00 +7.901256189e+00 +3.2931e+00 +3.3403e+00 -1.6448e+00 -1.6810e+00 -1.7250e+00 -1.6879e+00 -1.6437e+00 -1.6479e+00 -1.6904e+00 -1.6683e+00 -1.6478e+00 -1.6613e+00 -1.6898e+00 -1.6470e+00 -1.6240e+00 -1.6886e+00 -1.6505e+00 -1.6863e+00 -1.6548e+00 -1.6374e+00
882 0 +9.418195664e-01 +7.811819566e+00 +7.811819566e+00 +3.2907e+00 +3.3400e+00 -1.6429e+00 -1.6821e+00 -1.7295e+00 -1.6892e+00 -1.6403e+00 -1.6463e+00 -1.6917e+00 -1.6699e+00 -1.6471e+00 -1.6614e+00 -1.6935e+00 -1.6458e+00 -1.6208e+00 -1.6892e+00 -1.6497e+00 -1.6863e+00 -1.6551e+00 -1.6337e+00
904 0 +8.887248035e-01 +7.758724804e+00 +7.758724804e+00 +3.2992e+00 +3.3413e+00 -1.6543e+00 -1.6929e+00 -1.7277e+00 -1.6906e+00 -1.6370e+00 -1.6587e+00 -1.6874e+00 -1.6681e+00 -1.6496e+00 -1.6670e+00 -1.6868e+00 -1.6449e+00 -1.6297e+00 -1.6922e+00 -1.6483e+00 -1.6669e+00 -1.6411e+00 -1.6329e+00
935 0 +8.640677592e-01 +7.734067759e+00 +7.734067759e+00 +3.2994e+00 +3.3411e+00 -1.6538e+00 -1.6929e+00 -1.7275e+00 -1.6903e+00 -1.6373e+00 -1.6588e+00 -1.6876e+00 -1.6680e+00 -1.6498e+00 -1.6673e+00 -1.6865e+00 -1.6451e+00 -1.6295e+00 -1.6920e+00 -1.6478e+00 -1.6668e+00 -1.6411e+00 -1.6334e+00
961 0 +8.436112164e-01 +7.713611216e+00 +7.713611216e+00 +3.2990e+00 +3.3409e+00 -1.6537e+00 -1.6929e+00 -1.7273e+00 -1.6901e+00 -1.6375e+00 -1.6585e+00 -1.6879e+00 -1.6681e+00 -1.6496e+00 -1.6677e+00 -1.6862e+00 -1.6447e+00 -1.6296e+00 -1.6922e+00 -1.6478e+00 -1.6668e+00 -1.6415e+00 -1.6334e+00
983 0 +8.102061653e-01 +7.680206165e+00 +7.680206165e+00 +3.2991e+00 +3.3412e+00 -1.6545e+00 -1.6937e+00 -1.7271e+00 -1.6898e+00 -1.6378e+00 -1.6586e+00 -1.6883e+00 -1.6681e+00 -1.6496e+00 -1.6682e+00 -1.6854e+00 -1.6441e+00 -1.6304e+00 -1.6925e+00 -1.6476e+00 -1.6658e+00 -1.6415e+00 -1.6337e+00
1010 0 +7.313104433e-01 +7.601310443e+00 +7.601310443e+00 +3.2984e+00 +3.3410e+00 -1.6545e+00 -1.6940e+00 -1.7270e+00 -1.6899e+00 -1.6376e+00 -1.6584e+00 -1.6885e+00 -1.6682e+00 -1.6498e+00 -1.6679e+00 -1.6855e+00 -1.6438e+00 -1.6306e+00 -1.6925e+00 -1.6476e+00 -1.6653e+00 -1.6415e+00 -1.6338e+00
1056 0 +7.148584359e-01 +7.584858436e+00 +7.584858436e+00 +3.2978e+00 +3.3403e+00 -1.6540e+00 -1.6932e+00 -1.7256e+00 -1.6893e+00 -1.6387e+00 -1.6583e+00 -1.6883e+00 -1.6685e+00 -1.6485e+00 -1.6670e+00 -1.6847e+00 -1.6449e+00 -1.6306e+00 -1.6934e+00 -1.6484e+00 -1.6647e+00 -1.6417e+00 -1.6340e+00
1077 0 +5.851607665e-01 +7.455160766e+00 +7.455160766e+00 +3.2996e+00 +3.3370e+00 -1.6584e+00 -1.7007e+00 -1.7214e+00 -1.6821e+00 -1.6463e+00 -1.6598e+00 -1.6900e+00 -1.6658e+00 -1.6395e+00 -1.6639e+00 -1.6803e+00 -1.6434e+00 -1.6269e+00 -1.6965e+00 -1.6513e+00 -1.6586e+00 -1.6467e+00 -1.6370e+00
1107 0 +5.681237275e-01 +7.438123728e+00 +7.438123728e+00 +3.2990e+00 +3.3363e+00 -1.6586e+00 -1.7007e+00 -1.7214e+00 -1.6820e+00 -1.6466e+00 -1.6594e+00 -1.6903e+00 -1.6660e+00 -1.6392e+00 -1.6638e+00 -1.6802e+00 -1.6439e+00 -1.6271e+00 -1.6966e+00 -1.6513e+00 -1.6584e+00 -1.6466e+00 -1.6370e+00
1152 0 +5.206968797e-01 +7.390696880e+00 +7.390696880e+00 +3.2955e+00 +3.3383e+00 -1.6585e+00 -1.6937e+00 -1.7194e+00 -1.6883e+00 -1.6428e+00 -1.6588e+00 -1.6886e+00 -1.6670e+00 -1.6482e+00 -1.6646e+00 -1.6781e+00 -1.6476e+00 -1.6350e+00 -1.6951e+00 -1.6514e+00 -1.6623e+00 -1.6419e+00 -1.6368e+00
1203 0 +4.996995081e-01 +7.369699508e+00 +7.369699508e+00 +3.2962e+00 +3.3381e+00 -1.6591e+00 -1.6949e+00 -1.7194e+00 -1.6881e+00 -1.6429e+00 -1.6590e+00 -1.6884e+00 -1.6666e+00 -1.6480e+00 -1.6633e+00 -1.6780e+00 -1.6479e+00 -1.6343e+00 -1.6939e+00 -1.6524e+00 -1.6627e+00 -1.6420e+00 -1.6382e+00
