% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
102 +7.688987233e+00 +7.688987233e+00 +2.132898723e+01 +2.132898723e+01 -4.6311e+00 -1.9574e+00
124 +5.323566267e+00 +5.323566267e+00 +1.896356627e+01 +1.896356627e+01 -2.2278e+00 -4.8321e+00
261 +3.653889451e+00 +3.653889451e+00 +1.729388945e+01 +1.729388945e+01 -3.6517e+00 -4.2010e+00
960 +3.464009622e+00 +3.464009622e+00 +1.710400962e+01 +1.710400962e+01 +6.7342e-01 +1.5034e+00
1425 +3.041503410e+00 +3.041503410e+00 +1.668150341e+01 +1.668150341e+01 -2.3462e+00 -3.5363e+00
4501 +2.337129414e+00 +2.337129414e+00 +1.597712941e+01 +1.597712941e+01 -2.2440e+00 -2.8112e+00
4502 +1.309488431e+00 +1.309488431e+00 +1.494948843e+01 +1.494948843e+01 +9.1565e-01 +1.0159e+00
19889 +5.929134818e-01 +5.929134818e-01 +1.423291348e+01 +1.423291348e+01 +1.3660e+00 +1.3913e+00
80434 +2.914391145e-01 +2.914391145e-01 +1.393143911e+01 +1.393143911e+01 +1.4238e+00 +1.0618e+00
113070 +2.390927893e-01 +2.390927893e-01 +1.387909279e+01 +1.387909279e+01 +1.4589e+00 +1.3092e+00
190343 +1.419958513e-01 +1.419958513e-01 +1.378199585e+01 +1.378199585e+01 +1.1641e+00 +1.3486e+00
875131 +1.117597623e-01 +1.117597623e-01 +1.375175976e+01 +1.375175976e+01 +1.2535e+00 +1.2613e+00
2243192 +2.859657380e-02 +2.859657380e-02 +1.366859657e+01 +1.366859657e+01 +1.2519e+00 +1.2550e+00
4550095 +6.175094426e-03 +6.175094426e-03 +1.364617509e+01 +1.364617509e+01 +1.2502e+00 +1.2513e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.406646100e+01 +6.406646100e+01 +2.588664610e+02 +2.588664610e+02 +3.7741e+00 +3.7224e+00
2 +1.695715966e+01 +1.695715966e+01 +2.117571597e+02 +2.117571597e+02 +3.2836e-01 -2.7167e+00
6 +1.612170393e+01 +1.612170393e+01 +2.109217039e+02 +2.109217039e+02 +1.4230e+00 -2.9857e+00
18 +1.171838180e+01 +1.171838180e+01 +2.065183818e+02 +2.065183818e+02 +1.4240e+00 -2.3246e+00
26 +9.643554615e+00 +9.643554615e+00 +2.044435546e+02 +2.044435546e+02 +2.7420e+00 -4.5610e+00
30 +8.183417994e+00 +8.183417994e+00 +2.029834180e+02 +2.029834180e+02 +3.7486e+00 -3.9599e+00
35 +4.463808789e+00 +4.463808789e+00 +1.992638088e+02 +1.992638088e+02 +4.1611e+00 -2.9632e+00
158 +2.983870113e+00 +2.983870113e+00 +1.977838701e+02 +1.977838701e+02 +2.6431e+00 -3.8690e+00
1889 +2.698514073e+00 +2.698514073e+00 +1.974985141e+02 +1.974985141e+02 +2.1979e+00 -2.6173e+00
2475 +1.661090242e+00 +1.661090242e+00 +1.964610902e+02 +1.964610902e+02 -7.8636e-01 +1.4724e+00
3058 +6.860372605e-01 +6.860372605e-01 +1.954860373e+02 +1.954860373e+02 -1.1731e+00 +1.2309e+00
39155 +3.483667983e-01 +3.483667983e-01 +1.951483668e+02 +1.951483668e+02 -1.1249e+00 +1.4803e+00
45188 +2.671024571e-01 +2.671024571e-01 +1.950671025e+02 +1.950671025e+02 -1.1788e+00 +1.0020e+00
337238 +5.085392861e-02 +5.085392861e-02 +1.948508539e+02 +1.948508539e+02 -1.1483e+00 +1.2432e+00
1557860 +4.732256963e-02 +4.732256963e-02 +1.948473226e+02 +1.948473226e+02 -1.2566e+00 +1.2467e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.076432377e+01 +5.076432377e+01 -8.282567623e+01 -8.282567623e+01 +4.0391e+00 +7.3373e-01
2 +3.638782160e+01 +3.638782160e+01 -9.720217840e+01 -9.720217840e+01 -4.8616e+00 +4.5631e+00
3 +1.623011379e+01 +1.623011379e+01 -1.173598862e+02 -1.173598862e+02 -7.7596e-01 +4.6205e+00
16 +2.629735706e+00 +2.629735706e+00 -1.309602643e+02 -1.309602643e+02 +1.4351e+00 -1.0072e+00
7916 +2.110031557e+00 +2.110031557e+00 -1.314799684e+02 -1.314799684e+02 +9.7879e-01 -8.6118e-01
8347 +1.116839566e+00 +1.116839566e+00 -1.324731604e+02 -1.324731604e+02 +1.2225e+00 -1.2730e+00
25685 +9.209982185e-01 +9.209982185e-01 -1.326690018e+02 -1.326690018e+02 +1.5963e+00 -9.2142e-01
38356 +5.174005317e-01 +5.174005317e-01 -1.330725995e+02 -1.330725995e+02 +1.3461e+00 -1.3789e+00
165982 +4.690292798e-01 +4.690292798e-01 -1.331209707e+02 -1.331209707e+02 +1.1828e+00 -1.4595e+00
247795 +4.527102337e-01 +4.527102337e-01 -1.331372898e+02 -1.331372898e+02 +1.5355e+00 -1.1221e+00
271318 +8.212684404e-02 +8.212684404e-02 -1.335078732e+02 -1.335078732e+02 +1.2575e+00 -1.2437e+00
1484099 +4.455131601e-02 +4.455131601e-02 -1.335454487e+02 -1.335454487e+02 +1.2494e+00 -1.2495e+00
2882889 +1.650356280e-02 +1.650356280e-02 -1.335734964e+02 -1.335734964e+02 +1.2534e+00 -1.2470e+00
4258774 +1.733320396e-03 +1.733320396e-03 -1.335882667e+02 -1.335882667e+02 +1.2496e+00 -1.2501e+00
10287985 +1.525339303e-03 +1.525339303e-03 -1.335884747e+02 -1.335884747e+02 +1.2506e+00 -1.2497e+00
% function evaluation | noise-free fitness - Fopt (1.198100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.678848540e+01 +3.678848540e+01 +1.565984854e+02 +1.565984854e+02 +3.0398e+00 -2.6280e+00
2 +3.506700650e+01 +3.506700650e+01 +1.548770065e+02 +1.548770065e+02 +7.9935e-01 -1.1825e+00
7 +2.027816747e+01 +2.027816747e+01 +1.400881675e+02 +1.400881675e+02 -4.5076e+00 -1.5674e+00
8 +4.625766434e+00 +4.625766434e+00 +1.244357664e+02 +1.244357664e+02 +6.5415e-01 +1.3726e+00
65 +3.844515987e+00 +3.844515987e+00 +1.236545160e+02 +1.236545160e+02 +2.0318e+00 +1.5842e+00
235 +2.611732779e+00 +2.611732779e+00 +1.224217328e+02 +1.224217328e+02 -3.1204e+00 -3.0923e+00
471 +1.195430766e+00 +1.195430766e+00 +1.210054308e+02 +1.210054308e+02 +1.0420e+00 +1.1021e+00
490 +1.074948370e+00 +1.074948370e+00 +1.208849484e+02 +1.208849484e+02 +8.5110e-01 +1.2343e+00
3218 +6.726333226e-01 +6.726333226e-01 +1.204826333e+02 +1.204826333e+02 +1.6353e+00 +1.2727e+00
99254 +1.987687312e-01 +1.987687312e-01 +1.200087687e+02 +1.200087687e+02 +1.2612e+00 +1.2440e+00
318579 +7.100922244e-02 +7.100922244e-02 +1.198810092e+02 +1.198810092e+02 +1.3601e+00 +1.3231e+00
1902428 +6.777081736e-02 +6.777081736e-02 +1.198777708e+02 +1.198777708e+02 +1.2584e+00 +1.2462e+00
4043409 +3.747083855e-02 +3.747083855e-02 +1.198474708e+02 +1.198474708e+02 +1.2552e+00 +1.2473e+00
13276865 +1.417077949e-02 +1.417077949e-02 +1.198241708e+02 +1.198241708e+02 +1.2501e+00 +1.2495e+00
% function evaluation | noise-free fitness - Fopt (-1.224900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.513214746e+01 +3.513214746e+01 -8.735785254e+01 -8.735785254e+01 +3.5006e-01 -4.0677e+00
2 +2.263947270e+01 +2.263947270e+01 -9.985052730e+01 -9.985052730e+01 -3.6543e+00 -9.7529e-01
5 +3.127053943e+00 +3.127053943e+00 -1.193629461e+02 -1.193629461e+02 +1.0906e+00 +2.0012e+00
2663 +3.074795005e+00 +3.074795005e+00 -1.194152050e+02 -1.194152050e+02 -3.9274e+00 -2.7025e+00
2681 +2.439115517e+00 +2.439115517e+00 -1.200508845e+02 -1.200508845e+02 +1.3540e+00 +2.0209e+00
6824 +1.686802596e+00 +1.686802596e+00 -1.208031974e+02 -1.208031974e+02 +1.0888e+00 +1.5197e+00
23447 +1.372664380e+00 +1.372664380e+00 -1.211173356e+02 -1.211173356e+02 +1.2450e+00 +7.5764e-01
31087 +9.241422801e-01 +9.241422801e-01 -1.215658577e+02 -1.215658577e+02 +1.0923e+00 +1.5284e+00
38460 +7.491376419e-01 +7.491376419e-01 -1.217408624e+02 -1.217408624e+02 +1.3514e+00 +1.0478e+00
67014 +2.532340182e-01 +2.532340182e-01 -1.222367660e+02 -1.222367660e+02 +1.2014e+00 +1.3522e+00
349987 +2.246054471e-01 +2.246054471e-01 -1.222653946e+02 -1.222653946e+02 +1.1469e+00 +1.4376e+00
588377 +1.205698273e-01 +1.205698273e-01 -1.223694302e+02 -1.223694302e+02 +1.3005e+00 +1.1557e+00
997210 +7.881129916e-02 +7.881129916e-02 -1.224111887e+02 -1.224111887e+02 +1.2493e+00 +1.2434e+00
8450202 +2.697515531e-02 +2.697515531e-02 -1.224630248e+02 -1.224630248e+02 +1.2491e+00 +1.2484e+00
12085340 +1.614495918e-02 +1.614495918e-02 -1.224738550e+02 -1.224738550e+02 +1.2511e+00 +1.2539e+00
% function evaluation | noise-free fitness - Fopt (1.829000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.933445687e+01 +2.933445687e+01 +4.762445687e+01 +4.762445687e+01 +9.2831e-01 -2.5975e+00
5 +1.215795897e+01 +1.215795897e+01 +3.044795897e+01 +3.044795897e+01 +1.0655e+00 -1.5578e+00
34 +3.133007755e+00 +3.133007755e+00 +2.142300776e+01 +2.142300776e+01 +1.5904e+00 -2.0570e+00
1016 +2.951917586e+00 +2.951917586e+00 +2.124191759e+01 +2.124191759e+01 -1.8845e+00 +2.6523e+00
