% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.098800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.772197627e+06 +3.771987747e+06 +3.771987747e+06 +1.6667e+00 +1.6667e+00 +1.6667e+00
10 0 +5.762833063e+04 +5.741845063e+04 +5.741845063e+04 +3.3333e+00 +3.3333e+00 +3.3333e+00
21 0 +4.667431146e+04 +4.646443146e+04 +4.646443146e+04 +8.3333e-01 +3.3276e+00 +3.7479e+00
25 0 +2.722429184e+04 +2.701441184e+04 +2.701441184e+04 +8.3523e-01 -4.9584e+00 +3.5531e+00
29 0 +1.378611442e+04 +1.357623442e+04 +1.357623442e+04 +8.3730e-01 +3.3131e+00 +3.4724e+00
33 0 +3.164188388e+02 +1.065388388e+02 +1.065388388e+02 +8.3826e-01 +9.4321e-01 +3.5626e+00
38 0 +1.266674088e+02 -8.321259122e+01 -8.321259122e+01 +8.3937e-01 +1.4478e-01 +3.5604e+00
42 0 +2.921904393e+00 -2.069580956e+02 -2.069580956e+02 +8.4109e-01 +3.9600e-01 +3.5545e+00
46 0 +8.687550118e-01 -2.090112450e+02 -2.090112450e+02 +8.4324e-01 +4.2120e-01 +3.5544e+00
52 0 +1.613180302e-01 -2.097186820e+02 -2.097186820e+02 +8.4600e-01 +4.5203e-01 +3.5543e+00
56 0 +1.395102755e-01 -2.097404897e+02 -2.097404897e+02 +8.4754e-01 +4.4667e-01 +3.5544e+00
60 0 +1.365081740e-01 -2.097434918e+02 -2.097434918e+02 +8.4939e-01 +4.4753e-01 +3.5544e+00
64 0 +1.317956981e-01 -2.097482043e+02 -2.097482043e+02 +8.5590e-01 +4.4890e-01 +3.5544e+00
68 0 +1.259524133e-01 -2.097540476e+02 -2.097540476e+02 +8.6430e-01 +4.4935e-01 +3.5544e+00
73 0 +1.179953327e-01 -2.097620047e+02 -2.097620047e+02 +9.0560e-01 +4.5271e-01 +3.5544e+00
77 0 +1.102927306e-01 -2.097697073e+02 -2.097697073e+02 +9.4112e-01 +4.5458e-01 +3.5544e+00
81 0 +9.204920991e-02 -2.097879508e+02 -2.097879508e+02 +9.5395e-01 +4.5350e-01 +3.5544e+00
85 0 +5.820666932e-02 -2.098217933e+02 -2.098217933e+02 +1.0337e+00 +4.5274e-01 +3.5544e+00
89 0 +7.936132487e-03 -2.098720639e+02 -2.098720639e+02 +1.1799e+00 +4.5093e-01 +3.5544e+00
93 0 +5.054830692e-03 -2.098749452e+02 -2.098749452e+02 +1.2356e+00 +4.4993e-01 +3.5544e+00
103 0 +4.364019889e-03 -2.098756360e+02 -2.098756360e+02 +1.2635e+00 +4.4887e-01 +3.5544e+00
107 0 +1.250562886e-03 -2.098787494e+02 -2.098787494e+02 +1.2359e+00 +4.4854e-01 +3.5544e+00
111 0 +1.149063592e-04 -2.098798851e+02 -2.098798851e+02 +1.1968e+00 +4.4813e-01 +3.5544e+00
115 0 +9.290726624e-05 -2.098799071e+02 -2.098799071e+02 +1.2159e+00 +4.4808e-01 +3.5544e+00
116 0 +1.714957494e-05 -2.098799829e+02 -2.098799829e+02 +1.2063e+00 +4.4811e-01 +3.5544e+00
120 0 +1.327441953e-05 -2.098799867e+02 -2.098799867e+02 +1.2060e+00 +4.4811e-01 +3.5544e+00
125 0 +1.262728514e-05 -2.098799874e+02 -2.098799874e+02 +1.2062e+00 +4.4810e-01 +3.5544e+00
128 0 +1.257968731e-05 -2.098799874e+02 -2.098799874e+02 +1.2062e+00 +4.4810e-01 +3.5544e+00
129 0 +7.453143297e-06 -2.098799925e+02 -2.098799925e+02 +1.2061e+00 +4.4808e-01 +3.5544e+00
132 0 +7.397738955e-06 -2.098799926e+02 -2.098799926e+02 +1.2061e+00 +4.4808e-01 +3.5544e+00
136 0 +5.622374829e-06 -2.098799944e+02 -2.098799944e+02 +1.2059e+00 +4.4799e-01 +3.5544e+00
140 0 +2.852887036e-06 -2.098799971e+02 -2.098799971e+02 +1.2062e+00 +4.4800e-01 +3.5544e+00
143 0 +2.672520935e-06 -2.098799973e+02 -2.098799973e+02 +1.2062e+00 +4.4800e-01 +3.5544e+00
146 0 +1.910649445e-06 -2.098799981e+02 -2.098799981e+02 +1.2065e+00 +4.4803e-01 +3.5544e+00
150 0 +1.089603700e-06 -2.098799989e+02 -2.098799989e+02 +1.2063e+00 +4.4802e-01 +3.5544e+00
154 0 +3.530739718e-07 -2.098799996e+02 -2.098799996e+02 +1.2067e+00 +4.4800e-01 +3.5544e+00
157 0 +3.386801382e-07 -2.098799997e+02 -2.098799997e+02 +1.2067e+00 +4.4800e-01 +3.5544e+00
