% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.811539818e+01 +8.811539818e+01 +3.576539818e+01 +3.576539818e+01 +4.1299e+00 +2.9066e+00 +7.3417e-01 +3.7243e+00 +4.7417e+00 +7.7162e-01 +3.0564e+00 -1.2368e-01 -1.2412e-01 -2.6657e+00
8 +7.639974666e+01 +7.639974666e+01 +2.404974666e+01 +2.404974666e+01 +1.1402e+00 -2.8890e-01 +2.8608e-01 +2.2610e+00 +4.1659e+00 -4.1691e+00 -3.3105e+00 +9.5844e-01 +3.1994e+00 -3.3955e+00
10 +5.478570876e+00 +5.478570876e+00 -4.687142912e+01 -4.687142912e+01 -1.7985e+00 -1.2085e+00 +1.4639e+00 -1.8009e+00 -1.7601e+00 +3.5316e+00 -2.7667e+00 -2.3579e+00 +3.8420e+00 +1.8016e-01
3096 +4.155303492e+00 +4.155303492e+00 -4.819469651e+01 -4.819469651e+01 -3.6193e+00 -2.2486e+00 +4.9846e+00 -1.6489e+00 -1.3540e+00 +3.7790e+00 -3.7009e+00 +5.3005e-01 +3.0511e+00 -1.1376e+00
41923 +3.138880416e+00 +3.138880416e+00 -4.921111958e+01 -4.921111958e+01 -1.7938e-01 -2.6374e+00 +2.1535e+00 -1.0469e+00 -1.7883e+00 +2.3380e+00 -3.2154e+00 +6.3770e-01 +2.0966e+00 -1.5976e+00
300960 +2.275391417e+00 +2.275391417e+00 -5.007460858e+01 -5.007460858e+01 +7.2173e-01 -1.2521e+00 +2.4323e+00 -2.6275e+00 -1.9354e+00 +3.0679e+00 -4.8253e+00 -2.6805e-01 +1.8196e+00 -2.9111e+00
836187 +1.835392099e+00 +1.835392099e+00 -5.051460790e+01 -5.051460790e+01 -1.4568e-01 -1.4583e+00 +3.1919e+00 -2.9318e+00 -7.1748e-01 +2.7224e+00 -4.1595e+00 +1.4176e-01 +3.3020e+00 -2.9329e+00
2206697 +1.123210083e+00 +1.123210083e+00 -5.122678992e+01 -5.122678992e+01 -7.3512e-02 -1.3604e+00 +2.1094e+00 -2.4002e+00 -1.0526e+00 +3.3549e+00 -3.4359e+00 -1.9661e-01 +2.0336e+00 -1.6247e+00
83464864 +9.800264121e-01 +9.800264121e-01 -5.136997359e+01 -5.136997359e+01 -9.5554e-01 -9.5987e-01 +2.2422e+00 -2.4652e+00 -1.3330e+00 +4.2502e+00 -3.0908e+00 -1.1937e-01 +3.5487e+00 -1.3182e+00
% function evaluation | noise-free fitness - Fopt (-1.795400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
