% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5467 +1.581585780e+01 +1.581585780e+01 -7.207414220e+01 -7.207414220e+01 +2.1911e+00 +3.7283e+00 +1.2518e+00
35338 +1.538998543e+01 +1.538998543e+01 -7.250001457e+01 -7.250001457e+01 -1.5224e-01 +3.6946e+00 +1.2463e+00
396406 +1.377493995e+00 +1.377493995e+00 -8.651250600e+01 -8.651250600e+01 -3.7867e-01 +3.6536e+00 +1.2486e+00
3811700 +1.006088149e+00 +1.006088149e+00 -8.688391185e+01 -8.688391185e+01 +5.0179e-01 +3.6626e+00 +1.2504e+00
10410031 +5.962142663e-01 +5.962142663e-01 -8.729378573e+01 -8.729378573e+01 +7.5820e-01 +3.6413e+00 +1.2491e+00
19302179 +5.605797498e-01 +5.605797498e-01 -8.732942025e+01 -8.732942025e+01 +5.9385e-01 +3.6656e+00 +1.2493e+00
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.128724038e+07 +1.128724038e+07 +1.128756057e+07 +1.128756057e+07 +9.0948e-01 -2.9842e+00 +4.8518e+00
2 +5.213301451e+05 +5.213301451e+05 +5.216503351e+05 +5.216503351e+05 +4.4236e+00 -2.4277e+00 +2.1797e+00
7 +1.290725733e+05 +1.290725733e+05 +1.293927633e+05 +1.293927633e+05 +3.8147e+00 -3.8674e+00 +1.0576e+00
13 +1.707981189e+04 +1.707981189e+04 +1.740000189e+04 +1.740000189e+04 +1.3685e+00 -5.7474e-01 +1.5204e+00
26 +1.580313525e+04 +1.580313525e+04 +1.612332525e+04 +1.612332525e+04 +3.8309e+00 -4.9702e+00 +1.3024e+00
164 +4.328749139e+03 +4.328749139e+03 +4.648939139e+03 +4.648939139e+03 -3.7317e+00 -4.3724e+00 +1.3893e+00
261 +1.108999008e+03 +1.108999008e+03 +1.429189008e+03 +1.429189008e+03 -4.2265e+00 -2.7955e+00 +1.4333e+00
1105 +4.556282256e+01 +4.556282256e+01 +3.657528226e+02 +3.657528226e+02 +1.8630e+00 -2.5344e+00 +1.4057e+00
1449 +2.052397308e+01 +2.052397308e+01 +3.407139731e+02 +3.407139731e+02 +2.7015e+00 -2.4005e+00 +1.4065e+00
38794 +1.878857171e+01 +1.878857171e+01 +3.389785717e+02 +3.389785717e+02 +3.5609e+00 -2.3179e+00 +1.4022e+00
40468 +4.731709680e+00 +4.731709680e+00 +3.249217097e+02 +3.249217097e+02 +5.8385e-01 -2.3068e+00 +1.4037e+00
482374 +3.909354955e+00 +3.909354955e+00 +3.240993550e+02 +3.240993550e+02 -2.7910e-01 -2.3086e+00 +1.4024e+00
1125158 +3.842115546e+00 +3.842115546e+00 +3.240321155e+02 +3.240321155e+02 -2.3224e+00 -2.3696e+00 +1.4032e+00
1573607 +3.242179489e+00 +3.242179489e+00 +3.234321795e+02 +3.234321795e+02 +2.0721e-01 -2.3454e+00 +1.4016e+00
2495160 +1.968545653e+00 +1.968545653e+00 +3.221585457e+02 +3.221585457e+02 -1.4888e-01 -2.3179e+00 +1.4033e+00
6924711 +1.775643270e+00 +1.775643270e+00 +3.219656433e+02 +3.219656433e+02 -8.5508e-01 -2.3980e+00 +1.4033e+00
12576787 +3.884983930e-01 +3.884983930e-01 +3.205784984e+02 +3.205784984e+02 -7.8031e-01 -2.3450e+00 +1.4031e+00
13363388 +9.024304912e-02 +9.024304912e-02 +3.202802430e+02 +3.202802430e+02 -3.6583e-01 -2.3524e+00 +1.4031e+00
% function evaluation | noise-free fitness - Fopt (-1.042400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.795851564e+07 +2.795851564e+07 +2.795841140e+07 +2.795841140e+07 -4.0936e+00 -2.9438e-01 -4.1809e+00
2 +7.117926399e+06 +7.117926399e+06 +7.117822159e+06 +7.117822159e+06 +3.5834e+00 -1.2831e+00 +3.8548e+00
3 +1.468831563e+06 +1.468831563e+06 +1.468727323e+06 +1.468727323e+06 +2.8139e+00 +1.2527e+00 +2.4240e+00
5 +1.977012137e+05 +1.977012137e+05 +1.975969737e+05 +1.975969737e+05 +1.9131e+00 +3.6381e+00 +9.5554e-01
11 +4.781676210e+04 +4.781676210e+04 +4.771252210e+04 +4.771252210e+04 +2.7015e+00 +1.0430e+00 +1.4715e+00
29 +4.053601781e+04 +4.053601781e+04 +4.043177781e+04 +4.043177781e+04 -4.4893e+00 +1.9274e+00 +1.2281e+00
72 +3.892253453e+04 +3.892253453e+04 +3.881829453e+04 +3.881829453e+04 +1.9729e+00 -3.6991e+00 +1.1220e+00
81 +4.207722304e+03 +4.207722304e+03 +4.103482304e+03 +4.103482304e+03 +3.4148e+00 -3.1247e+00 +1.3754e+00
158 +4.968171206e+02 +4.968171206e+02 +3.925771206e+02 +3.925771206e+02 +1.8126e+00 -3.2733e+00 +1.3093e+00
1791 +7.815586505e+01 +7.815586505e+01 -2.608413495e+01 -2.608413495e+01 -4.4536e+00 -4.1399e+00 +1.3160e+00
19706 +1.340343070e+01 +1.340343070e+01 -9.083656930e+01 -9.083656930e+01 +2.6464e+00 -3.8657e+00 +1.3156e+00
108589 +1.192375941e+01 +1.192375941e+01 -9.231624059e+01 -9.231624059e+01 +4.3599e-01 -4.0153e+00 +1.3155e+00
196933 +1.081689471e+01 +1.081689471e+01 -9.342310529e+01 -9.342310529e+01 +1.8150e+00 -3.9607e+00 +1.3164e+00
221779 +6.067478228e+00 +6.067478228e+00 -9.817252177e+01 -9.817252177e+01 +1.2354e+00 -3.8558e+00 +1.3150e+00
242036 +4.019942484e+00 +4.019942484e+00 -1.002200575e+02 -1.002200575e+02 +7.9381e-01 -3.8568e+00 +1.3140e+00
3878889 +1.911078940e+00 +1.911078940e+00 -1.023289211e+02 -1.023289211e+02 -8.4496e-01 -3.9214e+00 +1.3133e+00
5003876 +4.235957278e-01 +4.235957278e-01 -1.038164043e+02 -1.038164043e+02 +6.6522e-01 -3.9344e+00 +1.3132e+00
12388866 +9.287095429e-02 +9.287095429e-02 -1.041471290e+02 -1.041471290e+02 +2.6194e-01 -3.9148e+00 +1.3134e+00
% function evaluation | noise-free fitness - Fopt (-4.791000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.918835025e+07 +4.918835025e+07 +4.918830234e+07 +4.918830234e+07 -1.9301e+00 +2.6721e+00 +4.4497e+00
2 +5.778531489e+06 +5.778531489e+06 +5.778483579e+06 +5.778483579e+06 -8.3296e-01 +3.2977e+00 -1.6772e-02
4 +2.380078199e+06 +2.380078199e+06 +2.380030289e+06 +2.380030289e+06 +4.5605e+00 -4.7916e+00 -3.6940e+00
18 +1.193131371e+06 +1.193131371e+06 +1.193083461e+06 +1.193083461e+06 -1.8332e-01 +1.1216e+00 -1.2393e+00
20 +5.090636362e+05 +5.090636362e+05 +5.090157262e+05 +5.090157262e+05 -2.4116e+00 +1.0306e-01 -1.5416e+00
21 +1.148463689e+05 +1.148463689e+05 +1.147984589e+05 +1.147984589e+05 +1.2726e+00 -2.7320e+00 -1.9563e+00
22 +1.453019914e+04 +1.453019914e+04 +1.448228914e+04 +1.448228914e+04 -6.1857e-01 -1.9544e+00 -2.1692e+00
130 +1.347006583e+04 +1.347006583e+04 +1.342215583e+04 +1.342215583e+04 +6.8533e-01 -4.9815e+00 -2.2467e+00
162 +7.986844789e+03 +7.986844789e+03 +7.938934789e+03 +7.938934789e+03 +1.1908e+00 +1.2835e+00 -2.2960e+00
222 +3.807087468e+03 +3.807087468e+03 +3.759177468e+03 +3.759177468e+03 +2.0260e+00 -3.0742e+00 -2.2572e+00
800 +6.191621569e+02 +6.191621569e+02 +5.712521569e+02 +5.712521569e+02 +3.3221e+00 -1.7018e+00 -2.3104e+00
946 +4.910605960e+02 +4.910605960e+02 +4.431505960e+02 +4.431505960e+02 +1.5568e+00 -8.0321e-01 -2.2867e+00
2833 +1.918914928e+02 +1.918914928e+02 +1.439814928e+02 +1.439814928e+02 +4.5944e+00 -1.8653e+00 -2.2918e+00
5748 +1.358068476e+02 +1.358068476e+02 +8.789684757e+01 +8.789684757e+01 -1.5046e+00 -1.3242e+00 -2.2764e+00
8017 +4.649992160e+01 +4.649992160e+01 -1.410078396e+00 -1.410078396e+00 +2.7297e+00 -1.4386e+00 -2.2931e+00
108100 +3.467329754e+01 +3.467329754e+01 -1.323670246e+01 -1.323670246e+01 -4.7609e+00 -1.4892e+00 -2.2876e+00
181978 +8.979250309e+00 +8.979250309e+00 -3.893074969e+01 -3.893074969e+01 +4.1049e+00 -1.4858e+00 -2.2854e+00
209786 +7.440085881e+00 +7.440085881e+00 -4.046991412e+01 -4.046991412e+01 +1.3939e-01 -1.4108e+00 -2.2860e+00
526248 +5.411457904e+00 +5.411457904e+00 -4.249854210e+01 -4.249854210e+01 +6.0316e-01 -1.4572e+00 -2.2885e+00
809922 +9.493675325e-01 +9.493675325e-01 -4.696063247e+01 -4.696063247e+01 +1.5922e+00 -1.4981e+00 -2.2855e+00
20015416 +5.151802624e-01 +5.151802624e-01 -4.739481974e+01 -4.739481974e+01 +1.7051e+00 -1.4711e+00 -2.2866e+00
% function evaluation | noise-free fitness - Fopt (-9.688000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.512072618e+05 +7.512072618e+05 +7.511103818e+05 +7.511103818e+05 +4.0887e+00 -4.3557e-01 -2.3307e+00
3 +8.161155013e+04 +8.161155013e+04 +8.151467013e+04 +8.151467013e+04 +1.9081e+00 -3.4417e+00 -2.9743e+00
13 +5.958928983e+04 +5.958928983e+04 +5.949240983e+04 +5.949240983e+04 +1.6320e+00 +4.6832e+00 -3.3156e+00
20 +1.196165574e+04 +1.196165574e+04 +1.186477574e+04 +1.186477574e+04 -8.7028e-01 -1.1841e+00 -3.3559e+00
56 +5.264612569e+03 +5.264612569e+03 +5.167732569e+03 +5.167732569e+03 -2.5950e+00 -8.7016e-01 -3.2030e+00
244 +3.149861401e+03 +3.149861401e+03 +3.052981401e+03 +3.052981401e+03 -6.4474e-02 -3.8832e+00 -3.2264e+00
494 +2.399326495e+03 +2.399326495e+03 +2.302446495e+03 +2.302446495e+03 +3.7111e+00 -3.8514e+00 -3.2401e+00
1162 +2.175047796e+03 +2.175047796e+03 +2.078167796e+03 +2.078167796e+03 -9.6156e-01 -3.3951e+00 -3.2879e+00
1542 +8.130680046e+02 +8.130680046e+02 +7.161880046e+02 +7.161880046e+02 -3.7856e+00 -2.4197e+00 -3.2802e+00
4588 +3.402232099e+02 +3.402232099e+02 +2.433432099e+02 +2.433432099e+02 +3.6285e+00 -2.7928e+00 -3.2369e+00
7114 +1.955693038e+02 +1.955693038e+02 +9.868930382e+01 +9.868930382e+01 +4.4507e+00 -2.9047e+00 -3.2501e+00
7127 +1.216625969e+02 +1.216625969e+02 +2.478259695e+01 +2.478259695e+01 -4.4225e+00 -2.2366e+00 -3.2496e+00
10514 +5.951934047e+01 +5.951934047e+01 -3.736065953e+01 -3.736065953e+01 -4.7753e+00 -2.5188e+00 -3.2535e+00
28868 +4.038828606e+01 +4.038828606e+01 -5.649171394e+01 -5.649171394e+01 -3.5343e+00 -2.4517e+00 -3.2532e+00
33871 +2.422436142e+01 +2.422436142e+01 -7.265563858e+01 -7.265563858e+01 -6.5149e-01 -2.5492e+00 -3.2554e+00
276605 +1.192913385e+01 +1.192913385e+01 -8.495086615e+01 -8.495086615e+01 +4.5980e-02 -2.5051e+00 -3.2512e+00
374690 +6.934782866e+00 +6.934782866e+00 -8.994521713e+01 -8.994521713e+01 +1.3993e+00 -2.4360e+00 -3.2538e+00
647398 +6.874558271e+00 +6.874558271e+00 -9.000544173e+01 -9.000544173e+01 +1.6006e+00 -2.4324e+00 -3.2538e+00
1114755 +2.913253596e+00 +2.913253596e+00 -9.396674640e+01 -9.396674640e+01 +2.4029e+00 -2.5309e+00 -3.2525e+00
1259447 +2.151603113e+00 +2.151603113e+00 -9.472839689e+01 -9.472839689e+01 +2.2319e+00 -2.4464e+00 -3.2532e+00
4875802 +2.084544435e+00 +2.084544435e+00 -9.479545556e+01 -9.479545556e+01 +4.3936e+00 -2.4936e+00 -3.2525e+00
5035985 +1.640373791e+00 +1.640373791e+00 -9.523962621e+01 -9.523962621e+01 +3.4265e+00 -2.4663e+00 -3.2539e+00
6806373 +1.563419716e+00 +1.563419716e+00 -9.531658028e+01 -9.531658028e+01 +4.2442e+00 -2.4911e+00 -3.2530e+00
12663676 +1.372406414e+00 +1.372406414e+00 -9.550759359e+01 -9.550759359e+01 +4.0347e+00 -2.5010e+00 -3.2534e+00
16426956 +3.953391297e-01 +3.953391297e-01 -9.648466087e+01 -9.648466087e+01 +2.9082e+00 -2.5011e+00 -3.2526e+00
% function evaluation | noise-free fitness - Fopt (-3.152000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.863933553e+04 +6.863933553e+04 +6.832413553e+04 +6.832413553e+04 -2.7771e+00 +4.3584e+00 -2.7740e+00
27 +4.698353879e+04 +4.698353879e+04 +4.666833879e+04 +4.666833879e+04 +2.9968e+00 +3.5691e+00 -2.7303e+00
47 +2.056352834e+04 +2.056352834e+04 +2.024832834e+04 +2.024832834e+04 -1.7795e+00 +4.8085e+00 -2.5830e+00
88 +1.557399398e+04 +1.557399398e+04 +1.525879398e+04 +1.525879398e+04 -2.8079e+00 -3.1620e+00 -2.5852e+00
151 +1.349711427e+04 +1.349711427e+04 +1.318191427e+04 +1.318191427e+04 +1.0541e+00 +3.7507e+00 -2.6048e+00
276 +9.842553524e+03 +9.842553524e+03 +9.527353524e+03 +9.527353524e+03 +2.8651e+00 +6.2435e-01 -2.6439e+00
282 +2.562163207e+03 +2.562163207e+03 +2.246963207e+03 +2.246963207e+03 -2.9820e+00 -9.5916e-01 -2.5448e+00
584 +1.360332731e+03 +1.360332731e+03 +1.045132731e+03 +1.045132731e+03 -2.0683e+00 +8.9912e-01 -2.5038e+00
2389 +2.084920065e+02 +2.084920065e+02 -1.067079935e+02 -1.067079935e+02 -2.5854e+00 +8.4865e-01 -2.5516e+00
11363 +1.952194375e+02 +1.952194375e+02 -1.199805625e+02 -1.199805625e+02 +3.9979e+00 +8.9788e-01 -2.5412e+00
12132 +7.010921634e+01 +7.010921634e+01 -2.450907837e+02 -2.450907837e+02 -4.9837e+00 +2.4682e-01 -2.5410e+00
27811 +2.402296465e+01 +2.402296465e+01 -2.911770353e+02 -2.911770353e+02 -3.4461e+00 +6.5827e-01 -2.5404e+00
104607 +2.138423401e+01 +2.138423401e+01 -2.938157660e+02 -2.938157660e+02 +3.8706e-01 +5.8854e-01 -2.5434e+00
309371 +1.756617028e+01 +1.756617028e+01 -2.976338297e+02 -2.976338297e+02 -2.5300e+00 +3.7870e-01 -2.5410e+00
413421 +1.166417549e+00 +1.166417549e+00 -3.140335825e+02 -3.140335825e+02 -2.1035e+00 +5.2097e-01 -2.5413e+00
2071503 +7.327639714e-01 +7.327639714e-01 -3.144672360e+02 -3.144672360e+02 -2.2965e+00 +5.1788e-01 -2.5418e+00
% function evaluation | noise-free fitness - Fopt (1.811000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.025013298e+06 +4.025013298e+06 +4.025031408e+06 +4.025031408e+06 +1.4527e+00 +4.2085e-01 -2.9066e+00
4 +1.750532691e+06 +1.750532691e+06 +1.750550801e+06 +1.750550801e+06 -9.9996e-01 -5.9274e-01 +2.7081e-01
10 +4.028489595e+04 +4.028489595e+04 +4.030300595e+04 +4.030300595e+04 +5.4833e-01 +2.8129e+00 -8.0584e-01
37 +8.089229074e+03 +8.089229074e+03 +8.107339074e+03 +8.107339074e+03 +2.3450e+00 +4.4366e-01 -9.5050e-01
58 +3.287325450e+02 +3.287325450e+02 +3.468425450e+02 +3.468425450e+02 -3.7052e+00 -2.8208e+00 -9.2485e-01
1524 +5.522159922e+01 +5.522159922e+01 +7.333159922e+01 +7.333159922e+01 -7.5576e-02 -2.4960e+00 -9.3043e-01
