% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
82862 +1.226738763e+03 +1.226738763e+03 +1.223028763e+03 +1.223028763e+03
127868 +1.196661290e+03 +1.196661290e+03 +1.192951290e+03 +1.192951290e+03
195890 +1.170414063e+03 +1.170414063e+03 +1.166704063e+03 +1.166704063e+03
286770 +1.137989901e+03 +1.137989901e+03 +1.134279901e+03 +1.134279901e+03
335598 +1.118361014e+03 +1.118361014e+03 +1.114651014e+03 +1.114651014e+03
747333 +9.468036435e+02 +9.468036435e+02 +9.430936435e+02 +9.430936435e+02
13155771 +9.252226982e+02 +9.252226982e+02 +9.215126982e+02 +9.215126982e+02
20893317 +7.957885392e+02 +7.957885392e+02 +7.920785392e+02 +7.920785392e+02
43351770 +7.117417949e+02 +7.117417949e+02 +7.080317949e+02 +7.080317949e+02
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.438946155e+03 +6.438946155e+03 +6.571126155e+03 +6.571126155e+03
2 +3.992252068e+03 +3.992252068e+03 +4.124432068e+03 +4.124432068e+03
5 +3.755105332e+03 +3.755105332e+03 +3.887285332e+03 +3.887285332e+03
6 +2.286553385e+03 +2.286553385e+03 +2.418733385e+03 +2.418733385e+03
311 +1.920852568e+03 +1.920852568e+03 +2.053032568e+03 +2.053032568e+03
338 +1.672504211e+03 +1.672504211e+03 +1.804684211e+03 +1.804684211e+03
961 +1.579592114e+03 +1.579592114e+03 +1.711772114e+03 +1.711772114e+03
1090 +1.200525786e+03 +1.200525786e+03 +1.332705786e+03 +1.332705786e+03
193688 +1.027762578e+03 +1.027762578e+03 +1.159942578e+03 +1.159942578e+03
3234626 +1.015614618e+03 +1.015614618e+03 +1.147794618e+03 +1.147794618e+03
3466527 +9.777914283e+02 +9.777914283e+02 +1.109971428e+03 +1.109971428e+03
5261236 +9.593649062e+02 +9.593649062e+02 +1.091544906e+03 +1.091544906e+03
5916918 +9.001955082e+02 +9.001955082e+02 +1.032375508e+03 +1.032375508e+03
123182365 +8.692233911e+02 +8.692233911e+02 +1.001403391e+03 +1.001403391e+03
340550394 +8.467793466e+02 +8.467793466e+02 +9.789593466e+02 +9.789593466e+02
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.175878888e+03 +5.175878888e+03 +6.175878888e+03 +6.175878888e+03
2 +2.559709047e+03 +2.559709047e+03 +3.559709047e+03 +3.559709047e+03
75 +2.215664110e+03 +2.215664110e+03 +3.215664110e+03 +3.215664110e+03
101 +1.654838583e+03 +1.654838583e+03 +2.654838583e+03 +2.654838583e+03
1995 +1.406079492e+03 +1.406079492e+03 +2.406079492e+03 +2.406079492e+03
3776 +1.268711028e+03 +1.268711028e+03 +2.268711028e+03 +2.268711028e+03
5542 +1.192063668e+03 +1.192063668e+03 +2.192063668e+03 +2.192063668e+03
357420 +1.136937349e+03 +1.136937349e+03 +2.136937349e+03 +2.136937349e+03
384504 +1.083632486e+03 +1.083632486e+03 +2.083632486e+03 +2.083632486e+03
560202 +9.917639629e+02 +9.917639629e+02 +1.991763963e+03 +1.991763963e+03
2211405 +9.281096752e+02 +9.281096752e+02 +1.928109675e+03 +1.928109675e+03
19303011 +9.080391216e+02 +9.080391216e+02 +1.908039122e+03 +1.908039122e+03
26107506 +8.711263110e+02 +8.711263110e+02 +1.871126311e+03 +1.871126311e+03
124871643 +8.663379093e+02 +8.663379093e+02 +1.866337909e+03 +1.866337909e+03
169428116 +8.407451854e+02 +8.407451854e+02 +1.840745185e+03 +1.840745185e+03
249664323 +7.963610122e+02 +7.963610122e+02 +1.796361012e+03 +1.796361012e+03
% function evaluation | noise-free fitness - Fopt (-1.846000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.043542421e+04 +1.043542421e+04 +1.041696421e+04 +1.041696421e+04
2 +3.977008109e+03 +3.977008109e+03 +3.958548109e+03 +3.958548109e+03
4 +3.216347547e+03 +3.216347547e+03 +3.197887547e+03 +3.197887547e+03
5 +2.711673903e+03 +2.711673903e+03 +2.693213903e+03 +2.693213903e+03
8 +2.350187648e+03 +2.350187648e+03 +2.331727648e+03 +2.331727648e+03
27 +2.154208749e+03 +2.154208749e+03 +2.135748749e+03 +2.135748749e+03
31 +1.898989764e+03 +1.898989764e+03 +1.880529764e+03 +1.880529764e+03
71 +1.813946713e+03 +1.813946713e+03 +1.795486713e+03 +1.795486713e+03
72 +1.617974597e+03 +1.617974597e+03 +1.599514597e+03 +1.599514597e+03
3062 +1.576279904e+03 +1.576279904e+03 +1.557819904e+03 +1.557819904e+03
4093 +1.444808139e+03 +1.444808139e+03 +1.426348139e+03 +1.426348139e+03
38181 +1.402638824e+03 +1.402638824e+03 +1.384178824e+03 +1.384178824e+03
42849 +1.164927231e+03 +1.164927231e+03 +1.146467231e+03 +1.146467231e+03
744319 +9.074129596e+02 +9.074129596e+02 +8.889529596e+02 +8.889529596e+02
40834135 +8.695214035e+02 +8.695214035e+02 +8.510614035e+02 +8.510614035e+02
183487860 +7.269615686e+02 +7.269615686e+02 +7.085015686e+02 +7.085015686e+02
% function evaluation | noise-free fitness - Fopt (-6.046000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.749104463e+03 +4.749104463e+03 +4.688644463e+03 +4.688644463e+03
2 +3.810955658e+03 +3.810955658e+03 +3.750495658e+03 +3.750495658e+03
3 +2.691930559e+03 +2.691930559e+03 +2.631470559e+03 +2.631470559e+03
34 +2.327207551e+03 +2.327207551e+03 +2.266747551e+03 +2.266747551e+03
56 +1.951038397e+03 +1.951038397e+03 +1.890578397e+03 +1.890578397e+03
177 +1.878478389e+03 +1.878478389e+03 +1.818018389e+03 +1.818018389e+03
404 +1.842085148e+03 +1.842085148e+03 +1.781625148e+03 +1.781625148e+03
626 +1.413365285e+03 +1.413365285e+03 +1.352905285e+03 +1.352905285e+03
1687 +1.401666599e+03 +1.401666599e+03 +1.341206599e+03 +1.341206599e+03
1861 +1.319083057e+03 +1.319083057e+03 +1.258623057e+03 +1.258623057e+03
8400 +1.098262033e+03 +1.098262033e+03 +1.037802033e+03 +1.037802033e+03
451433 +9.508442998e+02 +9.508442998e+02 +8.903842998e+02 +8.903842998e+02
11667388 +9.031014058e+02 +9.031014058e+02 +8.426414058e+02 +8.426414058e+02
57136824 +8.402062158e+02 +8.402062158e+02 +7.797462158e+02 +7.797462158e+02
325692338 +8.144746595e+02 +8.144746595e+02 +7.540146595e+02 +7.540146595e+02
372949309 +7.509947772e+02 +7.509947772e+02 +6.905347772e+02 +6.905347772e+02
% function evaluation | noise-free fitness - Fopt (3.173300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.986404182e+03 +1.986404182e+03 +2.303734182e+03 +2.303734182e+03
187 +1.903342457e+03 +1.903342457e+03 +2.220672457e+03 +2.220672457e+03
1196 +1.755169465e+03 +1.755169465e+03 +2.072499465e+03 +2.072499465e+03
1339 +1.501309382e+03 +1.501309382e+03 +1.818639382e+03 +1.818639382e+03
11073 +1.359468871e+03 +1.359468871e+03 +1.676798871e+03 +1.676798871e+03
