% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.465000000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
12 0 +3.174810461e+00 +2.668148105e+02 +2.668148105e+02 +8.3333e-01 -1.6667e+00
35 0 +2.903909661e+00 +2.665439097e+02 +2.665439097e+02 -8.3333e-01 -2.0833e+00
43 0 +1.902442838e-01 +2.638302443e+02 +2.638302443e+02 -2.0833e+00 -2.0833e+00
58 0 +2.023242903e-02 +2.636602324e+02 +2.636602324e+02 -2.0941e+00 -2.1158e+00
61 0 +3.458277505e-03 +2.636434583e+02 +2.636434583e+02 -2.0931e+00 -2.1078e+00
64 0 +2.670080371e-03 +2.636426701e+02 +2.636426701e+02 -2.0946e+00 -2.1075e+00
67 0 +3.964946532e-04 +2.636403965e+02 +2.636403965e+02 -2.1009e+00 -2.1059e+00
70 0 +4.304183676e-10 +2.636400000e+02 +2.636400000e+02 -2.1048e+00 -2.1048e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-7.366000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.247119226e+04 +4.239753226e+04 +4.239753226e+04 +1.6667e+00 +1.6667e+00
2 0 +4.855237240e+00 -6.880476276e+01 -6.880476276e+01 -1.6667e+00 -1.6667e+00
12 0 +3.174810461e+00 -7.048518954e+01 -7.048518954e+01 +8.3333e-01 -1.6667e+00
22 0 +2.847821713e+00 -7.081217829e+01 -7.081217829e+01 +8.0850e-01 -1.7019e+00
25 0 +2.730176981e+00 -7.092982302e+01 -7.092982302e+01 +7.9404e-01 -1.6933e+00
28 0 +2.160860355e+00 -7.149913964e+01 -7.149913964e+01 +6.8256e-01 -1.6558e+00
31 0 +2.105176517e+00 -7.155482348e+01 -7.155482348e+01 +5.8919e-01 -1.6320e+00
34 0 +2.072794995e+00 -7.158720501e+01 -7.158720501e+01 +6.2402e-01 -1.6426e+00
68 0 +1.902442838e-01 -7.346975572e+01 -7.346975572e+01 -2.0833e+00 -2.0833e+00
83 0 +2.023240820e-02 -7.363976759e+01 -7.363976759e+01 -2.0941e+00 -2.1158e+00
86 0 +3.458279621e-03 -7.365654172e+01 -7.365654172e+01 -2.0931e+00 -2.1078e+00
89 0 +2.670082954e-03 -7.365732992e+01 -7.365732992e+01 -2.0946e+00 -2.1075e+00
92 0 +3.964942625e-04 -7.365960351e+01 -7.365960351e+01 -2.1009e+00 -2.1059e+00
95 0 +4.353211125e-10 -7.366000000e+01 -7.366000000e+01 -2.1048e+00 -2.1048e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-6.786600000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.750411330e+00 -6.739095887e+02 -6.739095887e+02 +1.6667e+00 +1.6667e+00
11 0 +4.183122491e+00 -6.744768775e+02 -6.744768775e+02 -8.3333e-01 +1.6667e+00
23 0 +2.567268097e+00 -6.760927319e+02 -6.760927319e+02 -2.0833e+00 +1.6667e+00
38 0 +9.935428898e-01 -6.776664571e+02 -6.776664571e+02 -2.2917e+00 +2.0833e+00
134 0 +7.177785583e-02 -6.785882221e+02 -6.785882221e+02 -2.1354e+00 +2.0833e+00
323 0 +1.202032429e-02 -6.786479797e+02 -6.786479797e+02 -2.1224e+00 +2.0964e+00
418 0 +3.232758755e-03 -6.786567672e+02 -6.786567672e+02 -2.1159e+00 +2.1029e+00
912 0 +7.363125434e-04 -6.786592637e+02 -6.786592637e+02 -2.1061e+00 +2.1029e+00
1095 0 +2.529060461e-04 -6.786597471e+02 -6.786597471e+02 -2.1029e+00 +2.1061e+00
6198 0 +4.164205518e-05 -6.786599584e+02 -6.786599584e+02 -2.1037e+00 +2.1053e+00
21893 0 +1.906487353e-05 -6.786599809e+02 -6.786599809e+02 -2.1041e+00 +2.1049e+00
21959 0 +1.276578882e-05 -6.786599872e+02 -6.786599872e+02 -2.1053e+00 +2.1049e+00
53697 0 +6.383022537e-07 -6.786599994e+02 -6.786599994e+02 -2.1047e+00 +2.1049e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.195300000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.247119226e+04 +4.235166226e+04 +4.235166226e+04 +1.6667e+00 +1.6667e+00
2 0 +4.855237240e+00 -1.146747628e+02 -1.146747628e+02 -1.6667e+00 -1.6667e+00
12 0 +3.174810461e+00 -1.163551895e+02 -1.163551895e+02 +8.3333e-01 -1.6667e+00
22 0 +2.847821713e+00 -1.166821783e+02 -1.166821783e+02 +8.0850e-01 -1.7019e+00
25 0 +2.730176981e+00 -1.167998230e+02 -1.167998230e+02 +7.9404e-01 -1.6933e+00
28 0 +2.160860355e+00 -1.173691396e+02 -1.173691396e+02 +6.8256e-01 -1.6558e+00
